Datum,Totaal aantal crawlverzoeken,Totale downloadgrootte (Bytes),Gemiddelde reactietijd (ms)
2026-05-09,28,197637,31
2026-05-10,2,120799,258
2026-05-11,0,0,0
2026-05-12,56,635720,79
2026-05-13,17,83305,146
2026-05-14,2,7526,190
2026-05-15,0,0,0
2026-05-16,1,7469,344
2026-05-17,5,131881,308
2026-05-18,0,0,0
2026-05-19,3,124944,267
2026-05-20,3,72312,372
2026-05-21,0,0,0
2026-05-22,5,191627,159
2026-05-23,0,0,0
2026-05-24,6,32644,219
2026-05-25,43,567093,90
2026-05-26,0,0,0
2026-05-27,1,112666,427
2026-05-28,3,115855,244
2026-05-29,17,152301,131
2026-05-30,0,0,0
2026-05-31,0,0,0
2026-06-01,18,244214,100
2026-06-02,0,0,0
2026-06-03,0,0,0
2026-06-04,0,0,0
2026-06-05,39,412947,157
2026-06-06,1,7781,350
2026-06-07,0,0,0
2026-06-08,0,0,0
2026-06-09,19,307008,133
2026-06-10,0,0,0
2026-06-11,17,196908,206
2026-06-12,21,413516,241
2026-06-13,25,229999,152
2026-06-14,0,0,0
2026-06-15,0,0,0
2026-06-16,55,522288,100
2026-06-17,9,60432,175
2026-06-18,4,23762,281
2026-06-19,1,8177,376
2026-06-20,25,263598,50
2026-06-21,0,0,0
2026-06-22,19,200777,81
2026-06-23,0,0,0
2026-06-24,0,0,0
2026-06-25,12,112589,200
2026-06-26,0,0,0
2026-06-27,39,317419,123
2026-06-28,0,0,0
2026-06-29,16,196762,128
2026-06-30,1,8187,369
2026-07-01,1,8181,338
2026-07-02,1,8111,340
2026-07-03,8,108419,114
2026-07-04,27,255233,204
2026-07-05,0,0,0
2026-07-06,10,94083,59
2026-07-07,10,111102,101
2026-07-08,20,126779,254
2026-07-09,7,305589,336
2026-07-10,0,0,0
2026-07-11,1,8175,363
2026-07-12,17,286625,196
2026-07-13,3,140411,417
2026-07-14,24,179636,204
2026-07-15,3,29381,271
2026-07-16,16,202919,193
2026-07-17,2,64245,241
2026-07-18,2,8193,196
2026-07-19,26,247578,178
2026-07-20,0,0,0
2026-07-21,8,99406,114
2026-07-22,4,19357,351
2026-07-23,44,753967,250
2026-07-24,1,2357,97
2026-07-25,0,0,0
2026-07-26,0,0,0
2026-07-27,8,100968,472
2026-07-28,5,22026,438
2026-07-29,11,71488,460
2026-07-30,56,1368291,368
2026-07-31,23,464683,414
2026-08-01,18,157288,502
2026-08-02,35,229305,312
2026-08-03,31,589058,554
2026-08-04,42,889056,493
2026-08-05,6,37074,421
