Datum,Aantal klikken,Vertoningen,CTR,Positie
2026-05-06,1,14,7.14%,9.6
2026-05-07,1,17,5.88%,8.4
2026-05-08,0,13,0%,6.5
2026-05-09,1,6,16.67%,8.5
2026-05-10,1,5,20%,6.4
2026-05-11,0,9,0%,6.1
2026-05-12,0,8,0%,6.6
2026-05-13,4,16,25%,4
2026-05-14,2,13,15.38%,4.5
2026-05-15,0,17,0%,8.5
2026-05-16,0,12,0%,6.8
2026-05-17,1,10,10%,7.5
2026-05-18,0,13,0%,11.8
2026-05-19,1,13,7.69%,9.5
2026-05-20,0,13,0%,9.7
2026-05-21,1,15,6.67%,11.1
2026-05-22,3,9,33.33%,4.8
2026-05-23,0,10,0%,8.3
2026-05-24,0,11,0%,6.3
2026-05-25,0,6,0%,8.3
2026-05-26,0,19,0%,9.1
2026-05-27,0,38,0%,6.3
2026-05-28,1,12,8.33%,5.7
2026-05-29,2,14,14.29%,5.7
2026-05-30,1,10,10%,6.5
2026-05-31,0,28,0%,7.7
2026-06-01,0,29,0%,11.3
2026-06-02,1,20,5%,11.9
2026-06-03,3,30,10%,6.8
2026-06-04,2,21,9.52%,6.4
2026-06-05,1,26,3.85%,7.5
2026-06-06,0,21,0%,8.1
2026-06-07,0,17,0%,4.8
2026-06-08,0,20,0%,7.9
2026-06-09,1,29,3.45%,6.1
2026-06-10,1,21,4.76%,4.7
2026-06-11,0,31,0%,7.9
2026-06-12,1,34,2.94%,5
2026-06-13,1,22,4.55%,7.5
2026-06-14,0,17,0%,7.9
2026-06-15,2,24,8.33%,7
2026-06-16,0,24,0%,8.2
2026-06-17,2,22,9.09%,11.4
2026-06-18,4,24,16.67%,8.3
2026-06-19,2,29,6.9%,7
2026-06-20,0,19,0%,11.9
2026-06-21,2,19,10.53%,8.6
2026-06-22,2,34,5.88%,5.1
2026-06-23,2,27,7.41%,7.1
2026-06-24,1,25,4%,5.9
2026-06-25,1,20,5%,4.8
2026-06-26,2,19,10.53%,4.9
2026-06-27,1,22,4.55%,3.9
2026-06-28,2,29,6.9%,4.7
2026-06-29,5,37,13.51%,3.4
2026-06-30,4,24,16.67%,7
2026-07-01,0,6,0%,5.3
2026-07-02,0,1,0%,3
2026-07-03,0,5,0%,6.6
2026-07-04,0,4,0%,5
2026-07-05,1,13,7.69%,4.5
2026-07-06,4,17,23.53%,4.4
2026-07-07,4,32,12.5%,3.5
2026-07-08,1,22,4.55%,6.8
2026-07-09,3,20,15%,3.3
2026-07-10,1,23,4.35%,9.1
2026-07-11,1,20,5%,5.8
2026-07-12,0,21,0%,7
2026-07-13,2,18,11.11%,4.1
2026-07-14,2,21,9.52%,5.2
2026-07-15,4,11,36.36%,4
2026-07-16,0,6,0%,8.5
2026-07-17,0,0,,
2026-07-18,0,2,0%,8
2026-07-19,0,4,0%,7.8
2026-07-20,0,15,0%,7.3
2026-07-21,0,11,0%,12.2
2026-07-22,0,21,0%,6.4
2026-07-23,0,28,0%,9
2026-07-24,0,15,0%,7.2
2026-07-25,0,23,0%,7
2026-07-26,0,19,0%,9.5
2026-07-27,0,19,0%,10.7
2026-07-28,0,15,0%,8.3
2026-07-29,0,10,0%,6.5
2026-07-30,1,19,5.26%,7.2
2026-07-31,0,7,0%,15.6
2026-08-01,0,10,0%,11.4
2026-08-02,1,12,8.33%,13.2
2026-08-03,0,18,0%,8.8
2026-08-04,1,16,6.25%,11
2026-08-05,1,15,6.67%,10.6
