Land,Aantal klikken,Vertoningen,CTR,Positie
Nederland,60,405,14.81%,3.48
Verenigde Staten,10,403,2.48%,10.19
Verenigd Koninkrijk,4,45,8.89%,8.36
Canada,2,39,5.13%,5.79
België,2,9,22.22%,6.89
Denemarken,2,7,28.57%,3.43
Indonesië,1,131,0.76%,6.14
India,1,96,1.04%,6.54
Pakistan,1,20,5%,5.25
Filipijnen,1,19,5.26%,8.47
Polen,1,10,10%,9.6
Zweden,1,7,14.29%,4.57
Spanje,1,4,25%,6.5
Israël,1,3,33.33%,3.33
Kenia,1,2,50%,2.5
Honduras,1,1,100%,1
Duitsland,0,94,0%,6.8
Bangladesh,0,76,0%,9.22
Turks- en Caicoseilanden,0,63,0%,9.43
Mexico,0,14,0%,8.29
Algerije,0,12,0%,9.83
Oostenrijk,0,9,0%,5.33
Nigeria,0,9,0%,9.11
Frankrijk,0,9,0%,13.89
Panama,0,8,0%,8.5
Australië,0,6,0%,3.33
Brazilië,0,6,0%,4.5
Bahama's,0,6,0%,6.5
Marokko,0,6,0%,9
Italië,0,6,0%,17.33
Irak,0,5,0%,8.4
Vietnam,0,5,0%,22.8
Zwitserland,0,4,0%,2.75
Finland,0,4,0%,6
Verenigde Arabische Emiraten,0,4,0%,9.5
Ecuador,0,4,0%,10.25
Maleisië,0,4,0%,11
Saudi-Arabië,0,4,0%,14
Nieuw-Zeeland,0,3,0%,7.33
Dominicaanse Republiek,0,3,0%,8.33
Rusland,0,3,0%,18
Japan,0,3,0%,28.33
Antigua en Barbuda,0,2,0%,4.5
Bahrein,0,2,0%,4.5
Ethiopië,0,2,0%,5
Portugal,0,2,0%,6
Turkije,0,2,0%,6
Singapore,0,2,0%,6.5
Mauritius,0,2,0%,11
Aruba,0,1,0%,1
Venezuela,0,1,0%,1
Haïti,0,1,0%,2
Zuid-Afrika,0,1,0%,2
Cuba,0,1,0%,3
Kroatië,0,1,0%,3
Réunion,0,1,0%,3
Libanon,0,1,0%,6
Thailand,0,1,0%,6
Argentinië,0,1,0%,7
Botswana,0,1,0%,7
Saint Kitts en Nevis,0,1,0%,8
Myanmar (Birma),0,1,0%,8
Peru,0,1,0%,8
Roemenië,0,1,0%,8
Samoa,0,1,0%,8
China,0,1,0%,9
Georgië,0,1,0%,9
Jordanië,0,1,0%,10
Mongolië,0,1,0%,12
Tsjechië,0,1,0%,18
